Base Name;Cell Position;Fiber Position;Label;Index
TL3_014;(-186.98590087890625, 42.663734436035156, 84.35100555419922);(-157.53237915039062, 40.23044204711914, 69.2730484008789);0;113
TL3_014;(132.4791717529297, 98.66373443603516, -119.64899444580078);(109.46762084960938, 88.23043823242188, -94.02835083007812);1;113
TL3_015;(-182.45822143554688, 11.983513832092285, 84.57606506347656);(-152.35877990722656, 10.543534278869629, 73.97589111328125);0;114
TL3_015;(140.76792907714844, 104.15581512451172, -143.42393493652344);(116.26567840576172, 87.68708801269531, -124.02410888671875);1;114
TL3_016;(-189.05938720703125, 28.2828369140625, 63.189659118652344);(-155.32286071777344, 23.74102210998535, 58.695831298828125);0;115
TL3_016;(174.96722412109375, 100.2828369140625, -116.81034088134766);(142.48019409179688, 84.74102020263672, -107.30416870117188);1;115
TL3_017;(-190.03860473632812, 28.952974319458008, 67.51460266113281);(-159.579833984375, 25.57412338256836, 61.007015228271484);0;116
TL3_017;(168.53990173339844, 101.61337280273438, -120.48539733886719);(140.03802490234375, 87.57412719726562, -106.2266616821289);1;116
TL3_018;(-191.1144561767578, 30.39051628112793, 67.1003189086914);(-160.2264862060547, 26.883785247802734, 60.597145080566406);0;117
TL3_018;(172.66551208496094, 102.39051818847656, -120.8996810913086);(144.23004150390625, 88.8837890625, -102.4028549194336);1;117
TL3_019;(-201.54080200195312, 61.776100158691406, 52.2254753112793);(-154.8790740966797, 47.390838623046875, 42.598968505859375);0;118
TL3_019;(147.12867736816406, 137.77609252929688, -118.24185180664062);(122.22943115234375, 116.39083862304688, -99.40103149414062);1;118
TL3_020;(-176.77737426757812, 26.6185359954834, 102.4085464477539);(-147.72543334960938, 20.201515197753906, 99.74933624267578);0;119
TL3_020;(170.35183715820312, 106.61853790283203, -153.59144592285156);(143.00619506835938, 92.2015151977539, -149.2506561279297);1;119
TL3_021;(-190.65928649902344, 34.29833221435547, 84.31420135498047);(-158.25413513183594, 29.502513885498047, 77.89752197265625);0;120
TL3_021;(169.34071350097656, 99.36925506591797, -131.685791015625);(140.88516235351562, 85.50251770019531, -121.10247802734375);1;120
TL3_022;(-196.36048889160156, 25.320236206054688, 69.45421600341797);(-165.1837615966797, 22.096166610717773, 63.000484466552734);0;121
TL3_022;(171.0987548828125, 97.91340637207031, -118.54578399658203);(143.37388610839844, 84.0961685180664, -103.99951934814453);1;121
TL3_023;(-184.78245544433594, 33.49748992919922, 77.00361633300781);(-154.0934295654297, 28.106863021850586, 73.52632904052734);0;122
TL3_023;(174.59718322753906, 109.49748992919922, -118.99638366699219);(144.98330688476562, 93.10686492919922, -108.47367095947266);1;122
TL3_024;(-187.51930236816406, 26.799463272094727, 88.98140716552734);(-159.14877319335938, 20.382457733154297, 86.4717025756836);0;123
TL3_024;(192.66966247558594, 110.7994613647461, -118.29877471923828);(161.2106170654297, 95.38246154785156, -116.5282974243164);1;123
TL3_002;(-153.21112060546875, 123.60870361328125, -87.20538330078125);(-125.9715347290039, 104.9754638671875, -79.74547576904297);2;101
